keyword,id,rank
ACROMEGALY,YDukypEU-ZM,3
ACROMEGALY,cnPVlqPl51I,25
Apnea,BWB-DjoNtcc,11
Apnea,j8ZWCZvte_E,24
Apneic,iZiQ1__mr2s,22
Apneic,btCmXwhTLLc,14
CPAP machine,I253ndqR8aM,17
CPAP machine,cmNf_EILBd8,14
CPAP treatment,RzCskdfN46k,20
CPAP treatment,ZZFmVgjIKYQ,1
Central sleep apnea,JheMMKl-YN4,24
Central sleep apnea,PbTlTmVkLTY,4
Dyssomnias,_kAkyia1CJU,16
Dyssomnias,8I9pU1xHT5o,15
Elevated blood pressure,zo_0Bzsh4WA,5
Elevated blood pressure,JtBtk00EiVM,1
Elevated hematocrit,oO9id3bUFtg,21
Elevated hematocrit,TXpoBvOhi58,1
Epworth Sleepiness Scale,4sS9fdRG_18,9
Epworth Sleepiness Scale,YiKUXlfWdsA,22
Gasping for air during sleep,LideJlY9cAk,8
Gasping for air during sleep,leskf-_IsdM,10
Headaches,8dctKQ8wPV0,25
Headaches,OO5oDaG45kE,14
Intrinsic Sleep Disorders,r40g_9dw46o,2
Intrinsic Sleep Disorders,FmclK0rrX9k,22
Irritability,4o2CKqlTMb0,17
Irritability,p-I8eW6SNpY,5
Loud snoring,WTtBur3wMJA,18
Loud snoring,p94sRNVKdZU,7
MYOTONIC DYSTROPHY,-XrnCxJf1d8,12
MYOTONIC DYSTROPHY,f5wLuMZnpf8,17
MYXEDEMA,QWImy9PI9ls,7
MYXEDEMA,B_4GRUZtWs4,21
Morning headache,LtPay8cowaY,4
Morning headache,oz5no5YlKsQ,11
NEUROMUSCULAR DISEASES,1tOqXPl1yDk,22
NEUROMUSCULAR DISEASES,Tga_wpOqYT8,3
OBESITY,h2ku2Ws_Zzo,15
OBESITY,VYjgD3VgXgg,12
OSA,OtYgVJ-9JOs,8
OSA,apM-V7JUvKc,23
OSAHS,w8yaHpgBH8I,18
OSAHS,xh2cSIAQOEs,24
Obstructive Apnea,qejRaGXVCYE,24
Obstructive Apnea,iqvGhNI_6Gs,25
Obstructive Sleep,LWbTh0B414Q,23
Obstructive Sleep Apnea,NyBkWHjgAOQ,23
Obstructive Sleep Apnea,c1rPFj7CCGE,12
Obstructive Sleep Apnea Syndrome appliance,TI9sYLad834,21
Obstructive Sleep Apnea Syndrome appliance,JGmtNCgz1Pk,17
Obstructive Syndrome,H7IYd1VWCqk,2
Obstructive Syndrome,wmeZXlVObTw,12
PSG,0Ugx8-1db54,10
Pain,Ud4HuAzHEUc,1
Pain,kWBE0sQC5L8,18
Respiration Disorders,kkJJm0Sym4k,19
Respiration Disorders,Clgg7tj3wKI,3
Respiratory Arrest,u8zqLttpA8I,6
Respiratory Arrest,42jJ18fkZ0Y,25
Respiratory Signs and Symptoms,NrS8BIDlSCo,15
Respiratory Signs and Symptoms,L1x6LoL7pTw,19
Sleep Apnea,rYNwviYi4pk,20
Sleep Apnea,Cxx2hHmhvvw,12
Sleep Apnea Hypopnea Syndrome,i6lxO6W2-m8,20
Sleep Apnea Hypopnea Syndrome,IMON9zmViu4,17
Sleep Apnea Syndrome,fJgl8ntinyk,18
Sleep Apnea Syndrome,R0wqsmo_84Y,16
Sleep Disorders,gpI1aZY_9-M,17
Sleep Disorders,lu-pMXDZ8IA,4
Sleep Hypopnea,ohTE--PgBkY,25
Sleep Hypopnea,QTCezFQkzpc,23
Sleep Wake Disorders,3OvIFN6Gr9c,22
Sleep Wake Disorders,xcMIGDTrU5g,13
Stress,akYnmogU8zo,22
Stress,hyg7lcU4g8E,11
Tachycardia (fast heart rate),_1buRmYJr0Q,15
Tachycardia (fast heart rate),8DIRiOA_OsA,12
Unrefreshing or poor sleep,rvr37cUE-x4,19
Unrefreshing or poor sleep,KpyoDML2eUI,8
Upper Airway Resistance,6VtwOww8_cA,19
Upper Airway Resistance,IBiMHHEFv3s,3
Wake gasping,NfVb-rwUDoM,12
Wake gasping,TqENwyonvBc,9
acid reflux,P36zAw_2w5w,15
acid reflux,XIk9kymNmMA,11
airway,vNvymbRD5b4,15
airway,aY7mLYE9J7o,2
airway pressure,WcgBy0Psa3g,9
airway pressure,nyNO9fl_jNE,22
anxiety,jyXTE6BHw3Q,21
anxiety,vtUdHOx494E,8
apnea-hypopnea index,vQj_zLoidKg,13
apnea-hypopnea index,XtOA0_3CdAo,15
brain fog,aidf1eeRm6c,11
brain fog,NXycYqecJkA,20
bruxism,AsfiSWg5W54,10
bruxism,xYh1NjD4uVo,21
choking,5rOdGpkURD8,10
choking,aQzGPDnJqmc,5
cognitive impairment,BHf5SBiwWYQ,3
cognitive impairment,I-j9R8tH82A,11
confusion,1jUvhJ_Tgzw,2
confusion,c_L_-CKg6pw,6
continuous positive airway pressure,QhHlDvwvioM,21
continuous positive airway pressure,0J4MUzvR6cY,12
coughing,4TnJQYpKz0E,23
coughing,AhbYv6n3Q-k,3
daytime sleepiness,5QgsxJRv1wo,11
daytime sleepiness,TuLYHWfoNGY,10
difficulty falling asleep,Lgeo6rlGdk4,7
difficulty falling asleep,9p_KEQr8ks8,19
difficulty getting out of bed,KU2bvb0Pbq4,25
difficulty getting out of bed,iALyaq2E1T8,21
difficulty staying asleep,GSXKb4yAJB4,5
difficulty staying asleep,m_ZHgD5rVPU,19
difficulty waking up,cCEw-bn6MSE,21
difficulty waking up,CwceAOXdVi4,7
drowsiness,ivoXo5yy__U,10
drowsiness,0SZPKW5QdGY,12
dry mouth,FQBOB0tLB04,25
dry mouth,lP0P-zduVcQ,18
dry throat,UMc4CdlSU6Y,1
dry throat,3BRufWj3Lvs,11
during sleep,w5jv3hcQ3rw,19
during sleep,7NnRyq3xr1A,12
excessive yawning,987_mbSdGQY,19
excessive yawning,BjOlv6tzguQ,8
fatigue,HrzT8aSTo7Q,22
fatigue,Np1n0VvC0qU,25
gasping for air,0kMWZftfYRY,7
