keyword,id,rank
ACROMEGALY,SgFsfEds7DY,17
ACROMEGALY,6zcivNWkUeA,22
ACROMEGALY,wY8iGyf9Au4,6
Apnea,_2Tot_6Uo8w,15
Apnea,j8ZWCZvte_E,24
Apnea,BWB-DjoNtcc,11
Apneic,5oNQVk2HLyU,21
Apneic,Ah8QPHk-n8E,12
Apneic,vjJrLIl-uUM,18
CPAP machine,svtqBHZl13Y,18
CPAP machine,hXYht8wxBZg,22
CPAP machine,cmNf_EILBd8,14
CPAP treatment,lRUdgAa37dg,19
CPAP treatment,ZZFmVgjIKYQ,1
CPAP treatment,Gcej35v56c4,25
Central sleep apnea,PbTlTmVkLTY,4
Central sleep apnea,-KZLldUMGgA,23
Central sleep apnea,JheMMKl-YN4,24
Dyssomnias,I8GTuvO3_Yk,17
Dyssomnias,_kAkyia1CJU,16
Dyssomnias,8I9pU1xHT5o,15
Elevated blood pressure,mjTMZ_sm0LQ,6
Elevated blood pressure,MnVgGTv6EW0,20
Elevated blood pressure,zo_0Bzsh4WA,5
Elevated hematocrit,N1FpCQ7T7KE,12
Elevated hematocrit,eWLMGvuCCXA,16
Elevated hematocrit,dCJWaJrZSBA,4
Epworth Sleepiness Scale,BRxbsSiGWv4,4
Epworth Sleepiness Scale,LtEJvMOT-og,16
Epworth Sleepiness Scale,OqqWazVcYDc,18
Gasping for air during sleep,pCJrgcC3sgI,5
Gasping for air during sleep,PC4Yd3feSBc,17
Gasping for air during sleep,_shMGanKHfo,1
Headaches,KpHP8VmxnBo,1
Headaches,9ex0syXAqd4,22
Headaches,OO5oDaG45kE,14
Intrinsic Sleep Disorders,FmclK0rrX9k,22
Intrinsic Sleep Disorders,JGp19iFdrLI,8
Intrinsic Sleep Disorders,GuXxduRyzvI,20
Irritability,TAMe3-wUs4A,13
Irritability,p-I8eW6SNpY,5
Irritability,DWn1ON-Eck8,2
Loud snoring,p94sRNVKdZU,7
Loud snoring,c2H1YhfxzD0,5
Loud snoring,zHchEaObaBo,11
MYOTONIC DYSTROPHY,UHx74l7ya9E,5
MYOTONIC DYSTROPHY,f5wLuMZnpf8,17
MYOTONIC DYSTROPHY,vTzULRbsLww,24
MYXEDEMA,lK3W5pvhOOo,10
MYXEDEMA,s6QJhxcSd8g,14
MYXEDEMA,0rbtZZ5Pvb4,5
Morning headache,1wprI2EDxmo,3
Morning headache,djihswQ7p_8,7
Morning headache,IbajssYrcvM,13
NEUROMUSCULAR DISEASES,1tOqXPl1yDk,22
NEUROMUSCULAR DISEASES,Tga_wpOqYT8,3
NEUROMUSCULAR DISEASES,-5mxOOvroqw,4
OBESITY,iQUJ1HV0PWc,20
OBESITY,N9Qghel5mmM,22
OBESITY,9doXchc3wyc,18
OSA,l44moJhbAyc,11
OSA,AfyAp_2RSFI,16
OSA,3jwF1WqxHzY,15
OSAHS,xh2cSIAQOEs,24
OSAHS,w8yaHpgBH8I,18
Obstructive Apnea,qejRaGXVCYE,24
