keyword,id,rank
ACROMEGALY,AI-edvZx2GU,15
ACROMEGALY,DAWYyBQJ8Jk,7
ACROMEGALY,OFl_bKVYsPo,9
ACROMEGALY,wY8iGyf9Au4,6
Apnea,BWB-DjoNtcc,11
Apnea,_2Tot_6Uo8w,15
Apnea,j8ZWCZvte_E,24
Apneic,Ah8QPHk-n8E,12
Apneic,jyZnTjcKF3k,8
Apneic,meqLZxMLfG0,16
Apneic,iZiQ1__mr2s,22
CPAP machine,zyvPXD7PcwQ,15
CPAP machine,QL-lBcQuYAg,24
CPAP machine,cmNf_EILBd8,14
CPAP machine,svtqBHZl13Y,18
CPAP treatment,Bf8-Aq6qZ_c,2
CPAP treatment,gYIm1sdIU1A,14
CPAP treatment,Gcej35v56c4,25
CPAP treatment,ZeWGuUbdnTU,23
Central sleep apnea,PbTlTmVkLTY,4
Central sleep apnea,-KZLldUMGgA,23
Central sleep apnea,aCgJvYzebps,10
Central sleep apnea,yyk1W4vxCQ4,8
Dyssomnias,8I9pU1xHT5o,15
Dyssomnias,VBcEz8bVbL0,8
Dyssomnias,_afznE7Lg0E,18
Dyssomnias,CDBoBo-EJiE,21
Elevated blood pressure,JtBtk00EiVM,1
Elevated blood pressure,mjTMZ_sm0LQ,6
Elevated blood pressure,DT2DmGVa2SY,2
Elevated blood pressure,IzvHTXbhKLw,11
Elevated hematocrit,oO9id3bUFtg,21
Elevated hematocrit,SrAoMSzcmT0,7
Elevated hematocrit,dCJWaJrZSBA,4
Elevated hematocrit,Y9keUZH3zSo,5
Epworth Sleepiness Scale,6NDlFADXIhc,15
Epworth Sleepiness Scale,e_jQ9c6RbsI,14
Epworth Sleepiness Scale,Z03yyubM-2w,17
Epworth Sleepiness Scale,rVPNzZUGU8I,25
Gasping for air during sleep,_7-xjrDtVOY,21
Gasping for air during sleep,leskf-_IsdM,10
Gasping for air during sleep,nPtdkqOLLP4,9
Gasping for air during sleep,x1g3DFqFFpQ,3
Headaches,-XXlvPjL6Kk,18
Headaches,KpHP8VmxnBo,1
Headaches,8dctKQ8wPV0,25
Headaches,PrbIkzAX5xc,4
Intrinsic Sleep Disorders,JGp19iFdrLI,8
Intrinsic Sleep Disorders,DYV0MASI_0A,6
Intrinsic Sleep Disorders,r40g_9dw46o,2
Intrinsic Sleep Disorders,GuXxduRyzvI,20
Irritability,4o2CKqlTMb0,17
Irritability,9bCulDExyug,6
Irritability,O-5hu_zPHUc,14
Irritability,HaM8v-k8hXs,18
Loud snoring,m49d9FT9IgE,2
Loud snoring,zHchEaObaBo,11
Loud snoring,WTtBur3wMJA,18
Loud snoring,p94sRNVKdZU,7
MYOTONIC DYSTROPHY,f5wLuMZnpf8,17
MYOTONIC DYSTROPHY,w0MB4_36X70,3
MYOTONIC DYSTROPHY,i1Az5vyVv2g,23
MYOTONIC DYSTROPHY,jePwol1A61c,11
MYXEDEMA,-KB1J0Wbe7c,23
MYXEDEMA,s6QJhxcSd8g,14
MYXEDEMA,GM-0KIMwHaI,25
MYXEDEMA,B_4GRUZtWs4,21
Morning headache,1wprI2EDxmo,3
Morning headache,YitP1wGhIbg,25
Morning headache,J2swaFYOWgU,23
Morning headache,j5O5IUIwVGg,9
NEUROMUSCULAR DISEASES,b7rAGIfldAs,21
NEUROMUSCULAR DISEASES,ZijTzyFvNe0,12
NEUROMUSCULAR DISEASES,-5mxOOvroqw,4
NEUROMUSCULAR DISEASES,XQe3Fe-lW84,14
OBESITY,iQUJ1HV0PWc,20
OBESITY,oqy2roKOL8w,10
OBESITY,NKjOfR8vcas,23
OBESITY,CodB8Q71Sok,2
OSA,l44moJhbAyc,11
OSA,OtYgVJ-9JOs,8
OSA,AfyAp_2RSFI,16
OSA,3jwF1WqxHzY,15
OSAHS,xh2cSIAQOEs,24
OSAHS,w8yaHpgBH8I,18
Obstructive Apnea,qejRaGXVCYE,24
Obstructive Apnea,iqvGhNI_6Gs,25
Obstructive Sleep,LWbTh0B414Q,23
Obstructive Sleep Apnea,RxRwy3NEo4E,14
Obstructive Sleep Apnea,NqIiN6CNDhA,25
Obstructive Sleep Apnea,SJdKwGQIC_0,8
Obstructive Sleep Apnea,za4tDIyd3fg,10
Obstructive Sleep Apnea Syndrome appliance,8dXEgVK-fF4,14
Obstructive Sleep Apnea Syndrome appliance,t9jGztshOWc,25
Obstructive Sleep Apnea Syndrome appliance,4JkiWvWn2aU,24
Obstructive Sleep Apnea Syndrome appliance,TI9sYLad834,21
Obstructive Syndrome,gJlRmu0o1ns,3
Obstructive Syndrome,iYjKZHmzWEA,21
Obstructive Syndrome,H7IYd1VWCqk,2
Obstructive Syndrome,kKiktGo4zUA,17
PSG,0Ugx8-1db54,10
Pain,auvA9skU4cI,17
Pain,O_4S3EajcNY,13
Pain,TLIgFxNY61E,3
Pain,5nl7sKwPQo4,8
Respiration Disorders,kkJJm0Sym4k,19
Respiration Disorders,Clgg7tj3wKI,3
Respiratory Arrest,KpaLU8PjOoY,14
Respiratory Arrest,42jJ18fkZ0Y,25
Respiratory Arrest,XV2OrrQm0T0,12
Respiratory Arrest,5x9g8xrwzrU,16
Respiratory Signs and Symptoms,NrS8BIDlSCo,15
Respiratory Signs and Symptoms,CutRFPEeftk,22
Respiratory Signs and Symptoms,8p7mKodBjvc,12
Respiratory Signs and Symptoms,L1x6LoL7pTw,19
Sleep Apnea,Cxx2hHmhvvw,12
Sleep Apnea,leskf-_IsdM,11
Sleep Apnea,rYNwviYi4pk,20
Sleep Apnea,NTIebiQCO-s,16
Sleep Apnea Hypopnea Syndrome,i5VWOUB0OP0,4
Sleep Apnea Hypopnea Syndrome,IMON9zmViu4,17
Sleep Apnea Hypopnea Syndrome,4JkiWvWn2aU,7
Sleep Apnea Hypopnea Syndrome,2Ai5iXn60TQ,24
Sleep Apnea Syndrome,fJgl8ntinyk,18
Sleep Apnea Syndrome,Lwr19DqIi98,25
Sleep Apnea Syndrome,R0wqsmo_84Y,16
Sleep Apnea Syndrome,_shMGanKHfo,6
Sleep Disorders,l4-5F5jikQY,9
Sleep Disorders,ffOSutP17mA,7
Sleep Disorders,rdCtXgtMWDQ,24
Sleep Disorders,dxPf-DNfTlE,18
Sleep Hypopnea,QTCezFQkzpc,23
Sleep Hypopnea,ohTE--PgBkY,25
Sleep Wake Disorders,csAH5NJpPKw,6
Sleep Wake Disorders,d1T0DM9vXJs,18
Sleep Wake Disorders,3OvIFN6Gr9c,22
Sleep Wake Disorders,Ukyx8v58nOQ,16
Stress,15GaKTP0gFE,3
Stress,CZTc8_FwHGM,9
Stress,Nrt_amb8_y0,13
Stress,hnpQrMqDoqE,25
Tachycardia (fast heart rate),_1buRmYJr0Q,15
Tachycardia (fast heart rate),YWG7zUj1tCk,19
Tachycardia (fast heart rate),gYfwk1fO0WQ,23
Tachycardia (fast heart rate),ipthJEcVZDc,9
Unrefreshing or poor sleep,1ZkR68yqR_c,9
Unrefreshing or poor sleep,vtvW3Ai_Muo,11
Unrefreshing or poor sleep,Qd8d3Gl_yTM,2
Unrefreshing or poor sleep,KpyoDML2eUI,8
Upper Airway Resistance,ZUelKfAnUmc,18
Upper Airway Resistance,-61qyQi4Ax8,4
Upper Airway Resistance,IBiMHHEFv3s,3
Upper Airway Resistance,AZCUbiEFSPk,7
Wake gasping,Dmr19N3f34U,25
Wake gasping,4nfek-bQMVY,1
Wake gasping,A4oVbpNHNUc,6
Wake gasping,0zeF4CMo2iY,5
acid reflux,2KCdB9psVxw,19
acid reflux,YokUd_7oNzA,21
acid reflux,XIk9kymNmMA,11
acid reflux,L4lqgxctMcE,1
airway,hRvQfkIFFkc,16
airway,NDx1AwR25PA,14
airway,0O7F7EVSPGQ,12
airway,AmjKtpcDRJc,21
airway pressure,jccbfsMNQj0,6
airway pressure,WcgBy0Psa3g,9
airway pressure,nyNO9fl_jNE,22
anxiety,EbF7AriK6IE,10
anxiety,BVJkf8IuRjE,2
anxiety,odADwWzHR24,14
apnea-hypopnea index,VSS7LZxrbhk,3
apnea-hypopnea index,d13CHm5ScF0,23
apnea-hypopnea index,J6u3nIufGvA,12
apnea-hypopnea index,vQj_zLoidKg,13
brain fog,027KR8VIauY,3
brain fog,591_r7K3m-g,24
brain fog,3r9dCdhDQsc,18
brain fog,NXycYqecJkA,20
bruxism,RNe_59BtK-k,22
bruxism,upIJpqWc0y4,12
bruxism,RYDCqUWNvhU,7
bruxism,WJt_KLmbtgw,3
choking,5rOdGpkURD8,10
choking,pzlwOI7xQRc,19
choking,aQzGPDnJqmc,5
choking,JxikQnuoq9I,4
cognitive impairment,_qi41DaFjXM,19
cognitive impairment,X0aToP-nPB8,24
cognitive impairment,1VV9e0CyfVU,15
cognitive impairment,jS7uH50t9Bk,4
confusion,Bah6zoUtrl0,7
confusion,V0tm6EbhFAg,5
confusion,Yq7FKO5DlV0,11
confusion,g2R0V-TgBY4,8
continuous positive airway pressure,mOpSeVBA_AU,6
continuous positive airway pressure,0J4MUzvR6cY,12
continuous positive airway pressure,x_oxjU2LMT4,13
continuous positive airway pressure,BJP42D95uoE,14
coughing,hpfiVCz1prk,4
coughing,bXJkZ5fGU7c,7
coughing,2SDUpBSIyOg,25
coughing,1rdQALP_-x8,15
daytime sleepiness,h2gHuT8qhmU,12
daytime sleepiness,lc6WJNUJSmo,24
daytime sleepiness,lepetKsEfx4,3
daytime sleepiness,mEc-acCI3E4,19
difficulty falling asleep,GWpfkhKfFUM,13
difficulty falling asleep,H_4Pu97Uj2A,18
difficulty falling asleep,gAAJ_MJEWV8,23
difficulty falling asleep,9p_KEQr8ks8,19
difficulty getting out of bed,wbvOgqiL4rQ,2
difficulty getting out of bed,KU2bvb0Pbq4,25
difficulty getting out of bed,0iwkTJBfW2I,9
difficulty getting out of bed,qptfRE_pesk,16
difficulty staying asleep,t0kACis_dJE,20
difficulty staying asleep,92Oc8-lnx4k,21
difficulty staying asleep,j5Sl8LyI7k8,1
difficulty staying asleep,peADNI3wk7k,17
difficulty waking up,cCEw-bn6MSE,21
difficulty waking up,3nKgnfIGi5Y,15
difficulty waking up,YFY_9vYjfTY,17
difficulty waking up,CwceAOXdVi4,7
drowsiness,5sX7_32Pk3E,24
drowsiness,vV_KNsswfiw,13
drowsiness,KwR_rwzNJ38,19
drowsiness,0SZPKW5QdGY,12
dry mouth,jrLx7gEDrjM,11
dry mouth,RGwdWa0P2rM,13
dry mouth,wok0IDFe7ZQ,8
dry mouth,IKvLl9kd-D8,9
dry throat,bXow59aZAHo,3
dry throat,aJ0d4a71AEo,16
dry throat,LgZ3q7JykXc,22
dry throat,yk5saygEvA8,23
during sleep,LyVwp450QPw,2
during sleep,5SGfpNVRB6E,21
during sleep,w5jv3hcQ3rw,19
during sleep,eTgNgGO_bLs,8
excessive yawning,BMF5zWlvjLU,7
excessive yawning,Tzug6OGO_c8,16
excessive yawning,987_mbSdGQY,19
excessive yawning,hZplBHhRm5c,11
fatigue,HrzT8aSTo7Q,22
fatigue,r0SQsi0yWxo,17
fatigue,65fjdQw_omI,13
fatigue,_Tk9upmjvlU,21
gasping for air,oS-RDTRgTH4,18
gasping for air,tkpKJu6x3iI,25
gasping for air,T85vd3CBs04,15
gasping for air,R819uGmg2Po,17
grogginess,T10XCs525yY,21
grogginess,svsjDo81OGc,17
grogginess,QPhmrrIuX1Y,8
grogginess,jrGvQ-eqCzo,18
hypersomnia,PT7ddHwR5hw,20
hypersomnia,Vd-RUCKskH4,2
hypersomnia,V9gnvWtta4M,7
hypersomnia,IbJATT3qNOk,15
inability to concentrate,7-pzGxvSQBw,10
inability to concentrate,bpzKxDPezeA,3
inability to concentrate,Wj4j3fIkSm8,25
inability to concentrate,wqP0z35021o,1
inability to stay awake during the daytime,UV1VWwc9lN0,3
inability to stay awake during the daytime,j8J16T914hg,8
inability to stay awake during the daytime,Dd83dwHYsPc,18
inability to stay awake during the daytime,nGUHYnxlf_Y,6
insomnia,wwkKcqdrfGo,14
insomnia,luf0iyMT4A4,16
insomnia,tnrTN7s-p6Y,11
insomnia,oYnudJrod8Y,3
mandibular advancement,5DsTWO-d16A,17
mandibular advancement,QswMAHMYggE,8
mandibular advancement,b2QHWGrsuwU,18
mandibular advancement,tnv-1ZKIolk,7
micro-sleeps,t0kACis_dJE,22
micro-sleeps,JwCnJZyU70M,7
micro-sleeps,0O8i-hEixDU,5
micro-sleeps,7YtD86bio5U,11
micrognathia,uPsy_iCzfkM,15
