keyword,id,rank
ACROMEGALY,KLoaYPXlWHM,22
ACROMEGALY,OFl_bKVYsPo,9
ACROMEGALY,DAWYyBQJ8Jk,7
ACROMEGALY,AI-edvZx2GU,23
Anxious mood,YufQY6HqCW0,4
Anxious mood,fO00f3VnezE,8
Anxious mood,IzZF2Thi-Hg,22
Anxious mood,7YSNm5KepK8,19
Apnea,CavtNYtLnl8,13
Apnea,WNiUIyDhi4w,25
Apnea,BWB-DjoNtcc,18
Apneic,O3StYjvfjUo,7
Apneic,RDMyg1Kca_8,17
Apneic,sl4yje4FwEo,19
Apneic,iZiQ1__mr2s,18
CPAP machine,cmNf_EILBd8,10
CPAP machine,Z5JU43469Os,9
CPAP machine,8L85fF72VtI,13
CPAP machine,I253ndqR8aM,16
CPAP treatment,Gcej35v56c4,5
CPAP treatment,RzCskdfN46k,14
CPAP treatment,z03l1Aabd80,7
CPAP treatment,rYNwviYi4pk,24
Central sleep apnea,yyk1W4vxCQ4,21
Central sleep apnea,RPw66gv_rA8,11
Central sleep apnea,I6rMBr2U1O8,9
Central sleep apnea,lYWltNvU4Fg,1
Dyssomnias,Y4XIYb5uzdo,20
Dyssomnias,7wCZkJ828u4,15
Dyssomnias,_kAkyia1CJU,17
Dyssomnias,SntcJuadwSM,4
Elevated blood pressure,DXGZdHfdRN4,2
Elevated blood pressure,pPxnIh_WTb8,14
Elevated blood pressure,IzvHTXbhKLw,23
Elevated blood pressure,giPZsFczrA0,13
Elevated hematocrit,TXpoBvOhi58,3
Elevated hematocrit,LdT-1GVsd6Q,14
Elevated hematocrit,dCJWaJrZSBA,11
Elevated hematocrit,jFxCZ91sDpI,10
Epworth Sleepiness Scale,OqqWazVcYDc,12
Epworth Sleepiness Scale,9o0ZhIfn4Og,2
Epworth Sleepiness Scale,vkH--pmbM6A,23
Epworth Sleepiness Scale,T3L5-K2WW7c,25
Headaches,xL87iCOQZus,12
Headaches,-XXlvPjL6Kk,13
Headaches,9ex0syXAqd4,21
Headaches,PrbIkzAX5xc,6
Intrinsic Sleep Disorders,KaQFVaWcpow,8
Intrinsic Sleep Disorders,Ukyx8v58nOQ,13
Intrinsic Sleep Disorders,r40g_9dw46o,3
Intrinsic Sleep Disorders,l4-5F5jikQY,16
Irritability,yIyjQ_y0lGw,2
Irritability,4o2CKqlTMb0,19
Irritability,iMjR6PScMzk,14
Irritability,BCoScvw_rgg,4
Loud snoring,HhoU6y4gyIo,14
Loud snoring,iQ-7Mmdp2Z4,13
Loud snoring,xj2L2ez6Otg,23
Loud snoring,WglxiwmUzx0,15
MYOTONIC DYSTROPHY,lTrrnHKKk7Q,9
MYOTONIC DYSTROPHY,CUyBLgFRHAw,6
MYOTONIC DYSTROPHY,jePwol1A61c,16
MYOTONIC DYSTROPHY,f5wLuMZnpf8,21
MYXEDEMA,s6QJhxcSd8g,15
MYXEDEMA,mum9ZdCAG64,8
MYXEDEMA,HjFku3AxDqA,20
MYXEDEMA,0rbtZZ5Pvb4,14
Mixed sleep apnea,0WpZka7wYow,4
Mixed sleep apnea,vZq1ElGuD9Y,22
Mixed sleep apnea,eJsXHhoU7ww,23
Mixed sleep apnea,qvgNE3__TNA,19
Morning headache,IbajssYrcvM,15
Morning headache,j5O5IUIwVGg,5
Morning headache,1x2b0GRYs_M,9
Morning headache,oz5no5YlKsQ,8
NEUROMUSCULAR DISEASES,NVOj6kUyYQc,3
NEUROMUSCULAR DISEASES,ZgdNEgBiKp4,9
NEUROMUSCULAR DISEASES,-5mxOOvroqw,4
NEUROMUSCULAR DISEASES,zbo0i1r1pXA,19
OBESITY,oqy2roKOL8w,12
OBESITY,iQUJ1HV0PWc,24
OBESITY,N9Qghel5mmM,11
OBESITY,pEJyVdHldNY,6
OSA,VQfIhIGTVKM,12
OSA,l44moJhbAyc,18
OSA,zHchEaObaBo,7
OSA,apM-V7JUvKc,9
OSAHS,8dXEgVK-fF4,1
OSAHS,whilY2g03sM,2
OSAHS,5szxqZFaYTA,24
OSAHS,w8yaHpgBH8I,8
Obstructive Apnea,ftdixWiOx5w,20
Obstructive Sleep,K8H2eypGvSA,23
Obstructive Sleep,Czru7pbTVY0,25
Obstructive Sleep,N4X-DGAXPUM,19
Obstructive Sleep Apnea,NyBkWHjgAOQ,24
Obstructive Sleep Apnea,_JbTpOES0QE,23
Obstructive Sleep Apnea,za4tDIyd3fg,18
Obstructive Sleep Apnea,af0d_8wnEPI,2
Obstructive Sleep Apnea Syndrome,i5VWOUB0OP0,3
Obstructive Sleep Apnea Syndrome,IMON9zmViu4,22
Obstructive Sleep Apnea Syndrome,4kK2e_Mb3hM,11
Obstructive Sleep Apnea Syndrome,i6lxO6W2-m8,6
