keyword,id,rank
Respiratory Arrest,7bToWjqnppM,10
Respiratory Arrest,7Eq_CTqAQME,11
Respiratory Arrest,u8zqLttpA8I,12
Respiratory Arrest,KpaLU8PjOoY,16
Respiratory Arrest,9IvY5Xt_kp4,17
Respiratory Arrest,42jJ18fkZ0Y,20
Respiratory Arrest,vMX3uuOtap8,21
Respiratory Arrest,Fmt6JB-W_M8,23
Respiratory Arrest,j3ypUlLMRLs,25
Unrefreshing or poor sleep,1ZkR68yqR_c,1
Unrefreshing or poor sleep,D8NZ8QoZTyU,2
Unrefreshing or poor sleep,3tLnIDDnPT4,3
Unrefreshing or poor sleep,lYbKPYdnYdQ,4
Unrefreshing or poor sleep,VNcCo9G2Bs8,5
Unrefreshing or poor sleep,MumtgUt-PFs,6
Unrefreshing or poor sleep,xv58AEJIs3A,7
Unrefreshing or poor sleep,oYfILPQ-Z84,8
Unrefreshing or poor sleep,cc55ExfBwD8,9
Unrefreshing or poor sleep,KpyoDML2eUI,10
Unrefreshing or poor sleep,lVXkdBKdbW0,11
Unrefreshing or poor sleep,Y3oAc2HhLd4,12
Unrefreshing or poor sleep,kclCE2lUpIY,13
Unrefreshing or poor sleep,tTSiCQUFfSk,14
Unrefreshing or poor sleep,LqXIRmJq6yU,15
Unrefreshing or poor sleep,5g2q5bXBEAM,16
Unrefreshing or poor sleep,UYPez6V_S54,18
Unrefreshing or poor sleep,pT7NyoO0zu8,19
Unrefreshing or poor sleep,U9SiyStcIU8,20
Unrefreshing or poor sleep,Mgffer4w-6Q,21
Unrefreshing or poor sleep,F39IBJZlsek,22
Unrefreshing or poor sleep,7ZvQDhMV_sw,23
Unrefreshing or poor sleep,ydJoPkmDEos,24
Unrefreshing or poor sleep,RGaG-7RoH7w,25
pulmonary arrest,kvE8JN5eDxs,1
pulmonary arrest,RhsPROawFAA,2
pulmonary arrest,5x9g8xrwzrU,3
pulmonary arrest,gVHdmd2cIS0,4
pulmonary arrest,7lMiXJH_bw4,5
