keyword,id,rank
Respiratory Arrest,u8zqLttpA8I,6
Respiratory Arrest,vO63j9m5grE,9
Respiratory Arrest,XV2OrrQm0T0,12
Respiratory Arrest,KpaLU8PjOoY,14
Respiratory Arrest,FbWXo4WdFTI,15
Respiratory Arrest,5x9g8xrwzrU,16
Respiratory Arrest,3DNVxQYzYB0,17
Respiratory Arrest,5OR-0zuw9v0,20
Respiratory Arrest,Fmt6JB-W_M8,21
Respiratory Arrest,3uc12D1Q8N4,22
Respiratory Arrest,jBMR7U5jH_8,24
Respiratory Arrest,42jJ18fkZ0Y,25
Unrefreshing or poor sleep,D8NZ8QoZTyU,1
Unrefreshing or poor sleep,Qd8d3Gl_yTM,2
Unrefreshing or poor sleep,VNcCo9G2Bs8,3
Unrefreshing or poor sleep,10T5Qkl80i0,4
Unrefreshing or poor sleep,MumtgUt-PFs,5
Unrefreshing or poor sleep,3tLnIDDnPT4,6
Unrefreshing or poor sleep,dqONk48l5vY,7
Unrefreshing or poor sleep,KpyoDML2eUI,8
Unrefreshing or poor sleep,1ZkR68yqR_c,9
Unrefreshing or poor sleep,cc55ExfBwD8,10
Unrefreshing or poor sleep,vtvW3Ai_Muo,11
Unrefreshing or poor sleep,tTSiCQUFfSk,12
Unrefreshing or poor sleep,U9SiyStcIU8,13
Unrefreshing or poor sleep,F39IBJZlsek,14
Unrefreshing or poor sleep,XW1XXWm58RQ,15
Unrefreshing or poor sleep,Mgffer4w-6Q,16
Unrefreshing or poor sleep,MAL0pHLlwPY,17
Unrefreshing or poor sleep,Ld9RlIVN57M,18
Unrefreshing or poor sleep,rvr37cUE-x4,19
Unrefreshing or poor sleep,Qvt8k1se5Jw,20
Unrefreshing or poor sleep,a-h9Vv5kD0s,21
Unrefreshing or poor sleep,DIbQ4jxsivI,22
Unrefreshing or poor sleep,pT7NyoO0zu8,23
pulmonary arrest,kvE8JN5eDxs,1
pulmonary arrest,RhsPROawFAA,2
pulmonary arrest,gVHdmd2cIS0,3
pulmonary arrest,IJEMyiGedfw,4
pulmonary arrest,3Lu_zOFkpqA,5
pulmonary arrest,7lMiXJH_bw4,6
pulmonary arrest,athIwKFavTA,7
pulmonary arrest,0bUMprYBqzY,8
pulmonary arrest,eqF9ytrWnOI,9
pulmonary arrest,p5goFvXBmiU,10
pulmonary arrest,d45HkjY1pTI,11
pulmonary arrest,KRO7ekb_dhY,12
pulmonary arrest,BYnyNHeisKQ,13
pulmonary arrest,YReUVdyI1iU,14
pulmonary arrest,mz01KHKEySM,15
pulmonary arrest,w32PUDL2lb8,16
pulmonary arrest,7Eq_CTqAQME,17
pulmonary arrest,C3rColcEt_0,18
pulmonary arrest,rvvEi4U_QaQ,19
pulmonary arrest,w31DdYpmOzs,20
pulmonary arrest,wz62d9-oGOo,21
pulmonary arrest,TbyV6Z_WQJQ,22
pulmonary arrest,UmKx7I0Broo,23
pulmonary arrest,jgCE7ccS89o,24
pulmonary arrest,4JlrJDrqfhc,25
need to frequently nap,BN9yqF6Um98,1
need to frequently nap,8gLtDn5FL2E,2
need to frequently nap,VaZu4CsHUP8,4
need to frequently nap,kl6ITTeRQso,5
need to frequently nap,q7F2mNWjzgM,6
need to frequently nap,XhdfZfr6ENI,7
need to frequently nap,2dnGsucwtMk,8
need to frequently nap,FlK54DmeCpc,9
need to frequently nap,LvIcr2-5oYM,10
need to frequently nap,RxvmjopIJQc,11
need to frequently nap,gBpGSFBnR4g,12
need to frequently nap,x0HDccsh9qg,13
need to frequently nap,DwdOsS7P3Oc,14
need to frequently nap,gkjBQwDK6I4,15
need to frequently nap,Qb6UDRpzuFA,16
need to frequently nap,rF8BZOK1ll4,17
need to frequently nap,120hzRhRnYQ,18
need to frequently nap,NqJXf0Ut6I4,19
need to frequently nap,UCCWATqsLSQ,20
need to frequently nap,uEHu8LIZUKI,21
need to frequently nap,wuRi4eQ54q0,22
need to frequently nap,bcX1EzhTltw,23
need to frequently nap,H0U1wzAvLUA,24
need to frequently nap,htOWQjdUOQA,25
inability to stay awake during the daytime,82ByMBpjXdA,1
inability to stay awake during the daytime,TuLYHWfoNGY,2
inability to stay awake during the daytime,UV1VWwc9lN0,3
inability to stay awake during the daytime,rJ2mkv5GJhc,4
inability to stay awake during the daytime,NJY_bgv5j8c,5
inability to stay awake during the daytime,nGUHYnxlf_Y,6
inability to stay awake during the daytime,yFVKPcdortE,7
inability to stay awake during the daytime,j8J16T914hg,8
inability to stay awake during the daytime,UMWequpcS7Q,9
inability to stay awake during the daytime,Y-8b99rGpkM,10
inability to stay awake during the daytime,oyy-M6IClQs,11
inability to stay awake during the daytime,wu95JPidByY,12
inability to stay awake during the daytime,j5Sl8LyI7k8,13
inability to stay awake during the daytime,h2gHuT8qhmU,14
