keyword,id,rank
Pain,Ud4HuAzHEUc,1
Pain,rxY1f9oCrcs,2
Pain,TLIgFxNY61E,3
Pain,UlaEzkuCvoA,4
Pain,os9-sapsszI,5
Pain,RIlRS8tKcpM,6
Pain,mex6wFv0_wM,7
Pain,5nl7sKwPQo4,8
Pain,p8243BTPhGs,9
Pain,lw_XFnk5kwU,10
Pain,OSgkBF6LjH4,11
Pain,-59jGD4WrmE,12
Pain,O_4S3EajcNY,13
Pain,067YF8KHdTM,14
Pain,70TPV6ES-fE,15
Pain,fM85NRGoBQM,16
Pain,auvA9skU4cI,17
Pain,kWBE0sQC5L8,18
Pain,XPLwPRhHw0M,19
Pain,EgQ84na5_0E,20
Pain,dOyq_rkVyIo,21
Pain,hZG7SsYsBNo,22
Pain,hsrlKmAa1jw,23
Pain,dBrRBZy8OTs,24
Sleeping,5MuIMqhT8DM,1
Sleeping,fssRt4NqohA,3
Sleeping,hsGOT_0L16U,6
Sleeping,yIQd2Ya0Ziw,8
Sleeping,1ZYbU82GVz4,9
Sleeping,o8GrqUSdzi0,10
Sleeping,AMNyQds2ABQ,11
Sleeping,rulvcTfez5w,12
Sleeping,857bt64SomQ,13
Sleeping,njHvGxZgTPk,14
Sleeping,ubNfkpbxXUs,15
Sleeping,bn9F19Hi1Lk,16
Sleeping,YvlYXTLHGW8,17
Sleeping,9QneqUhCVtU,18
Sleeping,TocQQS_T2vs,19
Sleeping,pWWgnd7Xf-A,20
Sleeping,AqJuVSu58oI,21
Sleeping,lh4JdZTJe7k,22
Sleeping,Aro0iXuTrwc,23
Sleeping,OeHLHNKQCXA,25
anxiety,9mPwQTiMSj8,1
anxiety,BVJkf8IuRjE,2
anxiety,WWloIAQpMcQ,3
anxiety,jefR6lA1mTY,4
anxiety,xsEJ6GeAGb0,5
anxiety,-CAd9o9OlqM,6
anxiety,ZidGozDhOjg,7
anxiety,vtUdHOx494E,8
anxiety,qfhcoEvmuJo,9
anxiety,EbF7AriK6IE,10
anxiety,qTRrFAFoWoY,11
anxiety,aX7jnVXXG5o,12
anxiety,MK0rESk_oW0,13
anxiety,odADwWzHR24,14
anxiety,WslEaP3YNMI,16
anxiety,VRxOmosteCc,17
anxiety,2EPnNOlxF8M,18
anxiety,W0usP3WDcOw,19
anxiety,yXWdat-B3Tc,20
anxiety,jyXTE6BHw3Q,21
anxiety,k_aFpRPwF3o,22
anxiety,1f7gn46yUvA,23
anxiety,Fa3mQnJv_z0,24
anxiety,qq0DBeFdDlM,25
night,H78YW7ycuwI,1
night,r4l9bFqgMaQ,2
night,UtF6Jej8yb4,3
night,2S0QhGGO1gQ,4
night,aG3ZuJ2rsbM,5
night,Q9pjm4cNsfc,6
night,-WsZ2fUXbZg,7
night,QKK1qOdBIPw,8
night,besuhAY4h70,9
night,i8pK6qmtllU,10
night,syFZfO_wfMQ,11
night,XhRtmk7vm3k,12
night,0EoOBXS-71k,13
night,CYf4VjcRsfk,14
night,k3ftlbnbwuc,15
night,oSHzUD-uqKY,16
night,Zkgzg5wK-4A,17
night,s00C0sKbI-4,18
night,1Flw9Q3ZhvI,19
night,sJDRfZJFAk0,20
night,02eWj00uEMc,21
night,wGF7PswOENQ,22
night,fxJcKo2Unys,23
night,UQlArLxcz5U,24
night,MV_3Dpw-BRY,25
sore throat,tXKV-tYqtTg,1
sore throat,uiv7yaBc69I,3
sore throat,pK-R2n2mQvc,4
sore throat,NfJz3fQ9mGI,6
sore throat,y3Byh_KSeE8,7
sore throat,xeXeTrABWy8,9
sore throat,miP4M7S-1QA,11
sore throat,QHjHoYL1hG8,12
sore throat,1HCIJE-U-3g,13
sore throat,OteDOYM197Y,14
sore throat,FClO6293zww,15
sore throat,xLsZiYYsXCo,16
sore throat,mNnHM5cd5wM,17
sore throat,ZUPQK385uHQ,18
sore throat,EKQMQF6xh6U,19
sore throat,FFXfCoFPX1U,20
sore throat,5DcD8Jd0KHg,21
sore throat,29xoWVnqh7E,22
sore throat,kK4RtAB3r_M,23
sore throat,LgwpqkFQgDU,24
sore throat,IBtFVEXSuGk,25
coughing,1Y-C9RMyaQQ,1
coughing,fn1XjzXQrwY,2
coughing,AhbYv6n3Q-k,3
coughing,hpfiVCz1prk,4
coughing,00HRugsoH6g,5
coughing,zf7mPgRCZf8,6
coughing,bXJkZ5fGU7c,7
coughing,l5SHtdczSBc,8
coughing,fn4XnjADWL0,9
coughing,dVac4G3e84Y,11
coughing,pjYyecHR-fw,12
coughing,kFyRbLPilyE,13
coughing,q2cJXdBMI9E,14
coughing,1rdQALP_-x8,15
coughing,-SV8yFsRZZ8,16
coughing,aKduNgfePLU,17
coughing,MWxbFiiQPi0,18
coughing,0_Z33Fr3WwY,19
coughing,TZ9aIoUxDBg,20
coughing,ueNCy-IXA5E,21
coughing,ps6vt01oODk,22
coughing,4TnJQYpKz0E,23
coughing,rXHJcQjDhXI,24
coughing,2SDUpBSIyOg,25
Stress,v-t1Z5-oPtU,1
Stress,WuyPuH9ojCE,2
Stress,15GaKTP0gFE,3
Stress,f9yCYlV-gNM,4
Stress,lHgWwSGZ_-o,5
Stress,4KbSRXP0wik,6
Stress,Nz9eAaXRzGg,7
Stress,o18I23HCQtE,8
Stress,CZTc8_FwHGM,9
Stress,ahU2FP_b9OQ,10
Stress,hyg7lcU4g8E,11
Stress,5u0z7-BJec0,12
Stress,Nrt_amb8_y0,13
Stress,COMwI2akgqM,14
Stress,CQjGqtH-2YI,15
Stress,u8rYWQ4-u1E,16
Stress,tEmt1Znux58,17
Stress,_7BJsJcQQq4,18
Stress,l_PM-wN116Q,19
Stress,H-kl36yQN1U,20
Stress,Mh4E3xiNGe4,21
Stress,akYnmogU8zo,22
Stress,RcGyVTAoXEU,23
Stress,aojVzzXy_-s,24
Stress,hnpQrMqDoqE,25
weight gain,RIJ2Jclv9Dg,1
weight gain,oOXn1RrZ0eU,2
weight gain,WwASmxrIEiI,3
weight gain,vPf6iYIJX8I,4
weight gain,WVlWr41KHj4,5
weight gain,1Q6ij1qSrrw,6
weight gain,zVBVHWliwA0,7
weight gain,FQ9OyEYHbwA,8
weight gain,HEYrWAepqzQ,9
weight gain,spqgLSHgQE4,10
weight gain,DvXY2gmIjwk,11
weight gain,A1vSCr4-DG8,12
weight gain,UXKYRAHzxXA,13
weight gain,HjU3EJOJl9U,14
weight gain,CRE3qAVP36U,15
weight gain,-C9T0rLOCt0,16
weight gain,MSv3vq6L-fA,17
weight gain,NM4iBO3_N-k,18
weight gain,f5yAO7SXCpU,19
weight gain,ZEK6TvS7StI,20
weight gain,6bBRu87RqnU,21
weight gain,LmjP-XutwFE,22
weight gain,49mpHsSU_wE,23
weight gain,byaFDossXYU,24
weight gain,h6nm8D5zNL8,25
dry mouth,nKN6-HbZ_D8,5
dry mouth,DoSyMVzglYU,7
dry mouth,wok0IDFe7ZQ,8
dry mouth,IKvLl9kd-D8,9
dry mouth,BFyIvudE0oU,10
dry mouth,jrLx7gEDrjM,11
dry mouth,TK0vMKCNgn4,12
dry mouth,RGwdWa0P2rM,13
dry mouth,ou6GN1IvjOU,14
dry mouth,itqzK3gMEow,15
dry mouth,lP0P-zduVcQ,18
dry mouth,xNB7fEgEkG4,19
dry mouth,HoJfrSOVLGY,20
dry mouth,UAGxqIkfdoE,22
dry mouth,z3pjlQEw3Tw,24
dry mouth,FQBOB0tLB04,25
acid reflux,L4lqgxctMcE,1
acid reflux,k8UqRCPA6Kw,2
