keyword,id,rank
blood pressure,Ab9OZsDECZw,1
blood pressure,4YNdp3pRjig,2
blood pressure,keYtWNAJY64,3
weight loss,LuBagc7uk-k,1
weight loss,GGP3NbP7O2w,2
weight loss,DLYb3IgQ1Qk,3
diabetes type,XfyGv-xwjlI,1
diabetes type,-B-RVybvffU,2
PCOS,D7O59psP8Lc,1
PCOS,ZJnoVxCq7Ik,2
PCOS,FsNKyKS7M_s,3
metformin,ZUc5OwI7ZWw,1
metformin,zX4jZ38J8Hs,2
metformin,7cUH-Lp3vlw,3
neuropathy,Tt3J0flYZt8,1
neuropathy,CyOdY5L-YeE,2
neuropathy,loUuq7rPTH0,3
body weight,A-B3GIPWH7g,1
body weight,5jj3425zDBY,2
body weight,zejHjXjhdiY,3
cellulitis,YDUVjz2nVUo,1
cellulitis,jwGS75CnlOo,2
cellulitis,szUf9ka9qHA,3
Type 2 diabetes,JAjZv41iUJU,1
Type 2 diabetes,da1vvigy5tQ,2
Type 2 diabetes,4SZGM_E5cLI,3
PPG,7bOr7Ux-_vY,1
PPG,9v8xdzv1vNc,2
PPG,xqYa9T6dyYs,3
diabetes symptoms,bIhy-Rb2xp4,1
diabetes symptoms,gGLofmo7q2E,2
diabetes symptoms,BftwyUs58JU,3
Type 1 diabetes,C3AQIfgthh4,1
Type 1 diabetes,OOhseL9jGDo,2
Type 1 diabetes,l5_y2QRKvMM,3
hypoglycemia,e0XN_hjfQiA,1
hypoglycemia,8UVyZKpPto4,2
hypoglycemia,VZBGZ7YT-vY,3
Gestational diabetes,T09oiyoy6ek,1
Gestational diabetes,mYvOwipZKXI,2
Gestational diabetes,HyKyfNkoBOo,3
