,keyword,id,rank,Filtered
0,Pain,Ud4HuAzHEUc,1,True
1,Pain,rxY1f9oCrcs,2,True
2,Pain,TLIgFxNY61E,3,True
3,Pain,UlaEzkuCvoA,4,True
5,Pain,RIlRS8tKcpM,6,True
6,Pain,mex6wFv0_wM,7,True
7,Pain,5nl7sKwPQo4,8,True
8,Pain,p8243BTPhGs,9,True
9,Pain,lw_XFnk5kwU,10,True
10,Pain,OSgkBF6LjH4,11,True
11,Pain,-59jGD4WrmE,12,True
12,Pain,O_4S3EajcNY,13,True
13,Pain,067YF8KHdTM,14,True
14,Pain,70TPV6ES-fE,15,True
16,Pain,auvA9skU4cI,17,True
17,Pain,kWBE0sQC5L8,18,True
19,Pain,EgQ84na5_0E,20,True
20,Pain,dOyq_rkVyIo,21,True
21,Pain,hZG7SsYsBNo,22,True
22,Pain,hsrlKmAa1jw,23,True
23,Pain,dBrRBZy8OTs,24,True
45,anxiety,BVJkf8IuRjE,2,True
48,anxiety,xsEJ6GeAGb0,5,True
49,anxiety,-CAd9o9OlqM,6,True
51,anxiety,vtUdHOx494E,8,True
53,anxiety,EbF7AriK6IE,10,True
54,anxiety,qTRrFAFoWoY,11,True
57,anxiety,odADwWzHR24,14,True
63,anxiety,jyXTE6BHw3Q,21,True
68,night,H78YW7ycuwI,1,True
69,night,r4l9bFqgMaQ,2,True
70,night,UtF6Jej8yb4,3,True
71,night,2S0QhGGO1gQ,4,True
72,night,aG3ZuJ2rsbM,5,True
73,night,Q9pjm4cNsfc,6,True
74,night,-WsZ2fUXbZg,7,True
76,night,besuhAY4h70,9,True
77,night,i8pK6qmtllU,10,True
78,night,syFZfO_wfMQ,11,True
83,night,oSHzUD-uqKY,16,True
89,night,wGF7PswOENQ,22,True
90,night,fxJcKo2Unys,23,True
92,night,MV_3Dpw-BRY,25,True
95,sore throat,pK-R2n2mQvc,4,True
96,sore throat,NfJz3fQ9mGI,6,True
97,sore throat,y3Byh_KSeE8,7,True
98,sore throat,xeXeTrABWy8,9,True
99,sore throat,miP4M7S-1QA,11,True
101,sore throat,1HCIJE-U-3g,13,True
102,sore throat,OteDOYM197Y,14,True
104,sore throat,xLsZiYYsXCo,16,True
105,sore throat,mNnHM5cd5wM,17,True
106,sore throat,ZUPQK385uHQ,18,True
109,sore throat,5DcD8Jd0KHg,21,True
110,sore throat,29xoWVnqh7E,22,True
111,sore throat,kK4RtAB3r_M,23,True
114,coughing,1Y-C9RMyaQQ,1,True
116,coughing,AhbYv6n3Q-k,3,True
117,coughing,hpfiVCz1prk,4,True
120,coughing,bXJkZ5fGU7c,7,True
121,coughing,l5SHtdczSBc,8,True
123,coughing,dVac4G3e84Y,11,True
124,coughing,pjYyecHR-fw,12,True
126,coughing,q2cJXdBMI9E,14,True
127,coughing,1rdQALP_-x8,15,True
128,coughing,-SV8yFsRZZ8,16,True
129,coughing,aKduNgfePLU,17,True
131,coughing,0_Z33Fr3WwY,19,True
134,coughing,ps6vt01oODk,22,True
135,coughing,4TnJQYpKz0E,23,True
137,coughing,2SDUpBSIyOg,25,True
138,Stress,v-t1Z5-oPtU,1,True
139,Stress,WuyPuH9ojCE,2,True
140,Stress,15GaKTP0gFE,3,True
146,Stress,CZTc8_FwHGM,9,True
148,Stress,hyg7lcU4g8E,11,True
149,Stress,5u0z7-BJec0,12,True
150,Stress,Nrt_amb8_y0,13,True
151,Stress,COMwI2akgqM,14,True
152,Stress,CQjGqtH-2YI,15,True
154,Stress,tEmt1Znux58,17,True
157,Stress,H-kl36yQN1U,20,True
158,Stress,Mh4E3xiNGe4,21,True
159,Stress,akYnmogU8zo,22,True
162,Stress,hnpQrMqDoqE,25,True
163,weight gain,RIJ2Jclv9Dg,1,True
165,weight gain,WwASmxrIEiI,3,True
169,weight gain,zVBVHWliwA0,7,True
171,weight gain,HEYrWAepqzQ,9,True
174,weight gain,A1vSCr4-DG8,12,True
175,weight gain,UXKYRAHzxXA,13,True
181,weight gain,f5yAO7SXCpU,19,True
182,weight gain,ZEK6TvS7StI,20,True
187,weight gain,h6nm8D5zNL8,25,True
190,dry mouth,wok0IDFe7ZQ,8,True
191,dry mouth,IKvLl9kd-D8,9,True
192,dry mouth,BFyIvudE0oU,10,True
193,dry mouth,jrLx7gEDrjM,11,True
194,dry mouth,TK0vMKCNgn4,12,True
195,dry mouth,RGwdWa0P2rM,13,True
196,dry mouth,ou6GN1IvjOU,14,True
198,dry mouth,lP0P-zduVcQ,18,True
200,dry mouth,HoJfrSOVLGY,20,True
203,dry mouth,FQBOB0tLB04,25,True
204,acid reflux,L4lqgxctMcE,1,True
205,acid reflux,k8UqRCPA6Kw,2,True
209,acid reflux,gkjKRFFDTvA,6,True
210,acid reflux,3Bous2-OQtc,7,True
213,acid reflux,jsT1ylTz3d8,10,True
214,acid reflux,XIk9kymNmMA,11,True
215,acid reflux,iMNOqNkJeFU,12,True
216,acid reflux,zh-9RaSCMxQ,13,True
218,acid reflux,P36zAw_2w5w,15,True
220,acid reflux,If_hlyFBdMw,17,True
222,acid reflux,2KCdB9psVxw,19,True
223,acid reflux,T9r1D7hA_Qk,20,True
224,acid reflux,YokUd_7oNzA,21,True
225,acid reflux,-WbMQLniXDU,22,True
226,acid reflux,-lTU6UgqgTA,23,True
238,PSG,0Ugx8-1db54,10,True
253,brain fog,43YTfc_QNSk,1,True
254,brain fog,Aj0FR7twq5E,2,True
255,brain fog,027KR8VIauY,3,True
256,brain fog,9Gg2zMplRT4,4,True
259,brain fog,9VJKzwMzDJE,7,True
263,brain fog,aidf1eeRm6c,11,True
267,brain fog,TB1xzHg-MBI,15,True
268,brain fog,enQJvkfP-tc,16,True
269,brain fog,L4ViIHsswBQ,17,True
270,brain fog,3r9dCdhDQsc,18,True
271,brain fog,cJZpvwUsQYY,19,True
272,brain fog,NXycYqecJkA,20,True
273,brain fog,BtgcaAXXcvA,21,True
274,brain fog,1SUo3cPJ5HM,22,True
276,brain fog,591_r7K3m-g,24,True
277,brain fog,mI-MUbl8v_8,25,True
278,Headaches,KpHP8VmxnBo,1,True
281,Headaches,PrbIkzAX5xc,4,True
282,Headaches,gJ9grxcohs0,6,True
289,Headaches,OO5oDaG45kE,14,True
291,Headaches,nWNf6Khc9go,17,True
292,Headaches,-XXlvPjL6Kk,18,True
293,Headaches,xL87iCOQZus,19,True
295,Headaches,9ex0syXAqd4,22,True
296,Headaches,-eGQ5RyKGZE,23,True
298,Headaches,8dctKQ8wPV0,25,True
300,drowsiness,2Cs4ou79Q9A,5,True
304,drowsiness,ivoXo5yy__U,10,True
305,drowsiness,0SZPKW5QdGY,12,True
306,drowsiness,vV_KNsswfiw,13,True
307,drowsiness,7dOHzxKkjgI,14,True
310,drowsiness,Ta7I0OB_RWU,17,True
311,drowsiness,KwR_rwzNJ38,19,True
313,drowsiness,u9EJOzEXTgE,21,True
315,drowsiness,5sX7_32Pk3E,24,True
316,drowsiness,wRXz6VdWtJk,25,True
317,migraine,S0sk8tO30RU,1,True
322,migraine,JOIR_CwX878,7,True
324,migraine,51rpVt6JhNU,9,True
326,migraine,gmdTGR6v9iY,11,True
328,migraine,VLg9NYhj-t4,13,True
329,migraine,xpcZcO9YGBU,14,True
330,migraine,bkkJofMRYu4,16,True
332,migraine,j_6C7KTZ0ZI,18,True
333,migraine,NiIBllgIC-Y,19,True
335,migraine,Bs92ejAGLdw,21,True
337,migraine,m_m0cW_I800,23,True
338,migraine,l4-k-Ji3y_U,24,True
339,migraine,WYIaWRifoSY,25,True
340,mouth breathing,c6Rao9TWGTU,1,True
342,mouth breathing,7GHVqlMcCLk,3,True
343,mouth breathing,WbB8iAJne9Y,4,True
345,mouth breathing,y1489ez_G4E,6,True
347,mouth breathing,MBPBthM1lcw,8,True
348,mouth breathing,ruOAmE9EcsU,9,True
350,mouth breathing,axphfyL5sj4,11,True
351,mouth breathing,6ViwBM05WFw,12,True
354,mouth breathing,maZFVKFw03Y,15,True
355,mouth breathing,mCjy6Vgl7cs,16,True
359,mouth breathing,8m0ubmg2kyA,20,True
364,mouth breathing,PZhY2IRVE94,25,True
370,fatigue,Bck1cTXUsRE,9,True
372,fatigue,65fjdQw_omI,13,True
376,fatigue,r0SQsi0yWxo,17,True
379,fatigue,cDoyGpgxWko,20,True
380,fatigue,_Tk9upmjvlU,21,True
381,fatigue,HrzT8aSTo7Q,22,True
382,fatigue,QKeLolFcQw8,23,True
383,fatigue,WRTnfm65Pfk,24,True
384,fatigue,Np1n0VvC0qU,25,True
386,insomnia,oYnudJrod8Y,3,True
389,insomnia,_tXFhGRqggc,7,True
390,insomnia,2e13i5vYAHY,8,True
391,insomnia,tnrTN7s-p6Y,11,True
394,insomnia,wwkKcqdrfGo,14,True
395,insomnia,JybV1mL6EMA,15,True
396,insomnia,luf0iyMT4A4,16,True
397,insomnia,dqONk48l5vY,17,True
398,insomnia,P8JEm4d6Wu4,18,True
399,insomnia,cHKs2aVxOmQ,19,True
401,insomnia,gIwU5INBV_0,21,True
402,insomnia,sWLOSwKXXOU,22,True
407,restless leg syndrome,QAOoK5AdFNc,6,True
408,restless leg syndrome,0fBm8VHNIxg,8,True
409,restless leg syndrome,kDa6i-Ukz44,9,True
411,restless leg syndrome,-3rUXrYk9Sg,11,True
413,restless leg syndrome,ib6oLFoXhbQ,13,True
414,restless leg syndrome,3vl7cEwsv-0,14,True
415,restless leg syndrome,oemYtq8UONY,15,True
417,restless leg syndrome,mtKXxi3Yye8,17,True
420,restless leg syndrome,TYhgbE_84MA,20,True
422,restless leg syndrome,TKnsOjy-b6E,22,True
423,restless leg syndrome,RzgmIpHtd-w,23,True
425,restless leg syndrome,p7G803oDx-c,25,True
428,Apnea,BWB-DjoNtcc,11,True
429,Apnea,_2Tot_6Uo8w,15,True
433,Apnea,j8ZWCZvte_E,24,True
435,Sleep Apnea,leskf-_IsdM,11,True
436,Sleep Apnea,Cxx2hHmhvvw,12,True
437,Sleep Apnea,NTIebiQCO-s,16,True
438,Sleep Apnea,rYNwviYi4pk,20,True
440,Sleep Apnea,WNiUIyDhi4w,23,True
441,Sleep Apnea,tz6llunPlOk,24,True
442,OBESITY,-vNVG7XJpVE,1,True
443,OBESITY,CodB8Q71Sok,2,True
444,OBESITY,d6gS5-02VYM,3,True
451,OBESITY,oqy2roKOL8w,10,True
453,OBESITY,VYjgD3VgXgg,12,True
456,OBESITY,h2ku2Ws_Zzo,15,True
457,OBESITY,kIxiI9eiAgk,16,True
458,OBESITY,N3job0WEt_g,17,True
459,OBESITY,9doXchc3wyc,18,True
461,OBESITY,iQUJ1HV0PWc,20,True
463,OBESITY,N9Qghel5mmM,22,True
464,OBESITY,NKjOfR8vcas,23,True
468,snoring,Yvww5URXeck,5,True
469,snoring,NNStU5h2fZA,6,True
471,snoring,QVUlR9GI-VA,8,True
472,snoring,gS0IrkYCqVc,10,True
474,snoring,kBom0-rtTns,12,True
475,snoring,UAhgAm4PPis,13,True
476,snoring,apIsrTxKleM,14,True
478,snoring,AzfN1oBqBK0,16,True
479,snoring,bRE9FW99ZgM,18,True
481,snoring,0pOtV5XTxWc,20,True
482,snoring,qqSwErjkAWw,22,True
484,snoring,ow3JwoF5jBE,24,True
485,snoring,pHhfKoTJunA,25,True
486,choking,XOTbjDGZ7wg,1,True
488,choking,C7VP42q98fw,3,True
489,choking,JxikQnuoq9I,4,True
490,choking,aQzGPDnJqmc,5,True
491,choking,yId2qthfp3o,6,True
493,choking,AUV_BnUU_xo,8,True
494,choking,-Twh2ekfQtI,9,True
495,choking,5rOdGpkURD8,10,True
496,choking,EDy18otPvpQ,11,True
497,choking,hLddoFVyxyU,12,True
498,choking,iv5g4NTVuVw,13,True
500,choking,CUFsF1BtbbQ,15,True
501,choking,5kmsKNvKAvU,16,True
503,choking,XUG0kx4zubI,18,True
504,choking,pzlwOI7xQRc,19,True
506,choking,cuOqjDo5sB0,21,True
508,choking,dSIeDw0SvcQ,23,True
509,choking,VdT1KNiIrDY,24,True
510,choking,653Z4Tcc_pQ,25,True
512,airway,ZAaZ968_VyA,1,True
513,airway,aY7mLYE9J7o,2,True
514,airway,Hzc_T4QBp4E,4,True
520,airway,0O7F7EVSPGQ,12,True
522,airway,NDx1AwR25PA,14,True
523,airway,vNvymbRD5b4,15,True
524,airway,hRvQfkIFFkc,16,True
528,airway,AmjKtpcDRJc,21,True
533,confusion,1jUvhJ_Tgzw,2,True
534,confusion,MljsevVmA8g,3,True
535,confusion,XVmzRhv__uQ,4,True
536,confusion,V0tm6EbhFAg,5,True
537,confusion,c_L_-CKg6pw,6,True
538,confusion,Bah6zoUtrl0,7,True
539,confusion,g2R0V-TgBY4,8,True
540,confusion,YV4oYkIeGJc,9,True
542,confusion,Yq7FKO5DlV0,11,True
543,confusion,ktGnJTtv8IY,12,True
547,confusion,naleynXS7yo,16,True
550,confusion,LGI-HtWhhWo,19,True
552,confusion,KlcF3Vy-_TI,21,True
553,confusion,Rmc0bs2WftU,22,True
555,confusion,YECbtycraPM,24,True
556,dry throat,UMc4CdlSU6Y,1,True
558,dry throat,bXow59aZAHo,3,True
562,dry throat,lQJQe_n3JbQ,7,True
563,dry throat,RyH_jMfNVgk,8,True
564,dry throat,qGvNU_w5jn0,9,True
565,dry throat,KBCtrjhnLF4,10,True
566,dry throat,3BRufWj3Lvs,11,True
567,dry throat,jHtLsBAmDks,12,True
568,dry throat,n7komux6dQg,13,True
569,dry throat,fjmeLWwAkkQ,14,True
571,dry throat,aJ0d4a71AEo,16,True
573,dry throat,2rZnuYh2_Tw,18,True
574,dry throat,52CMXCe2_CY,19,True
575,dry throat,lRyzA1qLjUM,20,True
577,dry throat,LgZ3q7JykXc,22,True
578,dry throat,yk5saygEvA8,23,True
582,CPAP machine,8L85fF72VtI,6,True
584,CPAP machine,UhzrWk5v57s,9,True
585,CPAP machine,Z5JU43469Os,13,True
586,CPAP machine,cmNf_EILBd8,14,True
587,CPAP machine,zyvPXD7PcwQ,15,True
589,CPAP machine,I253ndqR8aM,17,True
590,CPAP machine,svtqBHZl13Y,18,True
592,CPAP machine,hXYht8wxBZg,22,True
593,CPAP machine,Y-hz5zmcmmc,23,True
594,CPAP machine,QL-lBcQuYAg,24,True
596,during sleep,eM2VWspRpfk,1,True
597,during sleep,LyVwp450QPw,2,True
598,during sleep,Slrxguxdfc0,3,True
601,during sleep,r7RuU3BMKP0,6,True
602,during sleep,eTgNgGO_bLs,8,True
603,during sleep,sp79Phj_diY,9,True
604,during sleep,Vz7kdy3BsBI,11,True
605,during sleep,7NnRyq3xr1A,12,True
609,during sleep,USVDXlWQfRE,16,True
610,during sleep,2U6IvsORyH0,17,True
611,during sleep,w5jv3hcQ3rw,19,True
613,during sleep,5SGfpNVRB6E,21,True
614,during sleep,I8W9MTQW01s,23,True
615,during sleep,FfVMsQbXyMU,24,True
618,sleep study,c3L5hN2j7ps,2,True
619,sleep study,GMV6Cd0jVzc,3,True
620,sleep study,vOuhmuWz-z4,4,True
621,sleep study,tx2w2hflNAU,5,True
622,sleep study,W7bCXd8ZHu8,7,True
624,sleep study,2gECGYl5C50,9,True
625,sleep study,_IC8ef7Wqnc,10,True
626,sleep study,Y-w_MgE-d8c,11,True
627,sleep study,wwHhDdJoIH4,12,True
628,sleep study,5xVRAPujyu4,13,True
629,sleep study,awa4z2fFn7A,14,True
630,sleep study,OQe7mLo23hk,15,True
632,sleep study,xg-Go6-_D0s,17,True
633,sleep study,gsZHtHFRopc,18,True
635,sleep study,rrUr4cyEHEc,20,True
636,sleep study,G4ou7JKd_Po,21,True
637,sleep study,0VHZvg_sFak,22,True
639,sleep study,ADT_Bp0VWtU,24,True
640,sleep study,bDfSOw3SCLI,25,True
641,no energy,f9KBL9Su1gw,2,True
642,no energy,0QCf72E_zb8,3,True
643,no energy,KRuXqlvwN6o,4,True
644,no energy,04vazyIbaHI,5,True
646,no energy,qU2o_b2dfR0,8,True
650,no energy,iXO7n-j00Jc,12,True
652,no energy,rZEF7JF-onA,14,True
653,no energy,f1_MzAmmoJU,15,True
654,no energy,h-cbyxv1XlY,16,True
656,no energy,PvYtpuZbvUw,18,True
657,no energy,GqC60CAc7rM,19,True
661,no energy,ejkNXMiVfPU,23,True
664,tiredness,foWbC4m9Do0,1,True
665,tiredness,0hg_Nib6tZE,2,True
666,tiredness,zu1_2zvIokQ,3,True
667,tiredness,0regJQPVfyg,4,True
672,tiredness,hNB9DJzqKJY,10,True
673,tiredness,CEcd0KxfVOM,11,True
675,tiredness,Fq8hdWxLK-A,13,True
676,tiredness,ID4nnTGrkc8,14,True
677,tiredness,onj85q6J90U,15,True
678,tiredness,HAmedhO2Bc4,16,True
679,tiredness,uTNn6hPz9vo,17,True
680,tiredness,UE9XL48Dsq4,18,True
681,tiredness,DM2XFuzhEuU,19,True
682,tiredness,XPw2yk-Gahk,20,True
683,tiredness,Kn4gqggn8Zo,21,True
684,tiredness,QAhlsusSjMw,22,True
685,tiredness,9uAqjlkjY3o,23,True
686,tiredness,wq-64JAW6IU,24,True
688,teeth grinding,KI7OrF0UmU0,3,True
689,teeth grinding,u10oPsAUQiE,4,True
690,teeth grinding,hnprMwEJ3c0,7,True
691,teeth grinding,fJ2qK4OCXYs,8,True
692,teeth grinding,vt57AQOjmnc,10,True
695,teeth grinding,7JYESyDsr5Y,14,True
696,teeth grinding,2f5hZVHAJSI,15,True
697,teeth grinding,9zqRl6VD9R8,16,True
