keyword,id,rank
Pain,Ud4HuAzHEUc,1
Pain,mex6wFv0_wM,2
Pain,TLIgFxNY61E,3
Pain,b4einJgn3Ug,4
Pain,lw_XFnk5kwU,5
Pain,KCrsvEQBAWk,6
Pain,5nl7sKwPQo4,7
Pain,rxY1f9oCrcs,8
Pain,UlaEzkuCvoA,9
Pain,-59jGD4WrmE,10
Pain,28nPbca_MLM,11
Pain,p8243BTPhGs,12
Pain,067YF8KHdTM,13
Pain,tldEJcPgI8c,14
Pain,RIlRS8tKcpM,15
Pain,auvA9skU4cI,16
Pain,2eA2Koq6pTI,17
Pain,dOyq_rkVyIo,18
Pain,_hmA-TvcAuk,19
Pain,EgQ84na5_0E,20
Pain,RDf1RelnPWk,21
Pain,OSgkBF6LjH4,22
Pain,6YQDRuqreII,23
Pain,O_4S3EajcNY,24
Pain,XPLwPRhHw0M,25
Sleeping,UOmcwyjh0no,1
Sleeping,YJIQMstj4XA,2
Sleeping,31ervHP2uYk,4
Sleeping,yKPn6kfQH58,6
Sleeping,4WKDOH1oXFE,7
Sleeping,hsGOT_0L16U,8
Sleeping,yIQd2Ya0Ziw,9
Sleeping,AMNyQds2ABQ,10
Sleeping,857bt64SomQ,11
Sleeping,SDr0bmEPoxE,12
Sleeping,KxOfg4kki-0,13
Sleeping,QpMWIsmEiy4,14
Sleeping,njHvGxZgTPk,15
Sleeping,9QneqUhCVtU,16
Sleeping,o8GrqUSdzi0,17
Sleeping,rulvcTfez5w,18
Sleeping,W-vBu2rf8TI,19
Sleeping,1ZYbU82GVz4,21
Sleeping,ryRWHsV9wbw,22
Sleeping,UksigCzT2Uc,23
Sleeping,6skCkuFCwVk,24
Sleeping,OeHLHNKQCXA,25
night,xH7cSSKnkL4,1
night,QKK1qOdBIPw,2
night,NR5C67bVDk0,3
night,FI339l7NGe8,4
night,Q9pjm4cNsfc,5
night,i8pK6qmtllU,6
night,Emp6xI5xY7o,7
night,a53e4HHnx_s,8
night,XJgG9hGSGPE,9
night,HTp5PH8ot6Q,10
night,qhSuaJKG08E,11
night,CYf4VjcRsfk,12
night,besuhAY4h70,13
night,CfgcbCe9Z_o,14
night,1Flw9Q3ZhvI,15
night,b-qkd_eSkdo,16
night,xg1gNlxto2M,17
night,pWAyV_GoJxA,18
night,BDg9dH8OEWQ,19
night,s00C0sKbI-4,20
night,oSHzUD-uqKY,21
night,nEH7_2c644Q,22
night,yVXOJdtfF-8,23
night,k9NM-yK1C2I,24
night,c_--26hCJ2s,25
anxiety,BVJkf8IuRjE,1
anxiety,WWloIAQpMcQ,2
anxiety,xsEJ6GeAGb0,3
anxiety,vtUdHOx494E,4
anxiety,ZidGozDhOjg,5
anxiety,-CAd9o9OlqM,6
anxiety,Eupw-yTBkQI,7
anxiety,GGPRFAoCRGQ,8
anxiety,2EPnNOlxF8M,9
anxiety,NmikuGiqVbw,10
anxiety,qq0DBeFdDlM,11
anxiety,Fa3mQnJv_z0,12
anxiety,n4gIMnU8E8U,13
anxiety,odADwWzHR24,14
anxiety,O-6f5wQXSu8,15
anxiety,8_PQJNo2wME,17
anxiety,EbF7AriK6IE,18
anxiety,KhnEUbbMWUM,20
anxiety,mRqR4mOC4gc,21
anxiety,FWepGixUcaU,22
anxiety,WGG7MGgptxE,23
anxiety,McCDfP5M878,24
anxiety,q2-Axw5EZ30,25
sore throat,NfJz3fQ9mGI,1
sore throat,pK-R2n2mQvc,4
sore throat,eMagKJcsLvE,6
sore throat,xeXeTrABWy8,7
sore throat,zJN2KkOWWSM,8
sore throat,95bXv6vswQc,9
sore throat,w439bfYBRmE,10
sore throat,QHjHoYL1hG8,11
sore throat,y3Byh_KSeE8,12
sore throat,_pSCwWLEZIw,13
sore throat,miP4M7S-1QA,14
sore throat,uiv7yaBc69I,15
sore throat,b8BPI4cerng,16
sore throat,-GITNO8Lii4,17
sore throat,5sg45KqLdY8,18
sore throat,kK4RtAB3r_M,19
sore throat,_By07yomIEs,20
sore throat,3khcsSHeDVY,22
sore throat,EzgIl6cnjb4,23
coughing,1Y-C9RMyaQQ,1
coughing,00HRugsoH6g,2
coughing,hpfiVCz1prk,3
coughing,KBCtrjhnLF4,4
coughing,OU1R_IXuUOY,5
coughing,l5SHtdczSBc,6
coughing,fn1XjzXQrwY,7
coughing,WrFeNuyIUew,8
coughing,bXJkZ5fGU7c,9
coughing,dVac4G3e84Y,10
coughing,fn4XnjADWL0,11
coughing,pmJU3osuHSo,12
